,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,national_highway_system,latitude,longitude
29421,North Carolina,81,1940,1,22,8,Dark – Not Lighted,Clear,2,1,2015-08-22 01:50:00+00:00,0,36.08450556,-79.97076111
29422,Texas,85,5390,2,25,1,Dark – Lighted,Clear,1,1,2015-01-25 02:32:00+00:00,0,33.08230833,-96.82469167
29423,Illinois,31,1670,19,2,9,Dusk,Clear,1,0,2015-09-02 19:23:00+00:00,1,41.98550278,-87.65366389
29424,Oklahoma,109,3550,19,10,11,Dark – Lighted,Clear,1,1,2015-11-10 19:19:00+00:00,0,35.45636111,-97.49463611
29425,Washington,33,229,1,14,8,Dark – Lighted,Clear,1,1,2015-08-14 01:56:00+00:00,0,47.49628333,-122.35196944
29426,Illinois,31,1670,3,24,11,Dark – Lighted,Clear,1,1,2015-11-24 03:00:00+00:00,0,41.99254722,-87.78288889
29427,Illinois,31,1670,23,1,12,Dark – Lighted,Clear,2,1,2015-12-01 23:20:00+00:00,1,41.85048889,-87.63040556
29428,Texas,113,1539,17,13,9,Daylight,Clear,1,0,2015-09-13 17:47:00+00:00,1,32.986025,-96.99243611
29429,Florida,31,1510,8,28,10,Dark – Not Lighted,Rain,1,0,2015-10-28 08:00:00+00:00,0,30.19852778,-81.83851944
29430,New Mexico,1,30,8,31,1,Daylight,Rain,1,1,2015-01-31 08:12:00+00:00,0,35.16858611,-106.58480833
29431,Oklahoma,109,3550,23,7,11,Dark – Lighted,Cloudy,2,1,2015-11-07 23:02:00+00:00,0,35.50773889,-97.49438611
29432,Florida,99,0,23,12,10,Dark – Not Lighted,Clear,1,1,2015-10-12 23:38:00+00:00,0,26.691625,-80.10003333
29433,Florida,109,0,17,24,11,Dusk,Clear,1,0,2015-11-24 17:00:00+00:00,0,30.10083333,-81.46944444
29434,North Carolina,67,5120,11,28,8,Daylight,Clear,1,1,2015-08-28 11:23:00+00:00,0,36.08847778,-80.25781944
29435,Illinois,201,7460,6,4,8,Daylight,Clear,2,1,2015-08-04 06:59:00+00:00,1,42.31579444,-89.07147778
29436,Missouri,55,7630,9,11,7,Daylight,Clear,1,0,2015-07-11 09:40:00+00:00,0,38.18997778,-91.16407778
29437,Kansas,209,2820,19,10,11,Dark – Lighted,Clear,1,1,2015-11-10 19:16:00+00:00,0,39.07573056,-94.60830278
29438,Texas,29,6090,23,4,10,Dark – Lighted,Clear,1,1,2015-10-04 23:05:00+00:00,0,29.41878056,-98.53013333
29439,Texas,215,4197,7,5,2,Daylight,Cloudy,1,0,2015-02-05 07:27:00+00:00,0,26.27775278,-98.24571667
29440,Texas,201,3280,3,24,5,Dark – Lighted,Cloudy,1,0,2015-05-24 03:30:00+00:00,0,29.79258611,-95.362075
29441,Florida,99,3190,20,25,11,Dark – Lighted,Clear,1,0,2015-11-25 20:04:00+00:00,0,26.66589722,-80.06851111
29442,Colorado,59,80,23,3,6,Dark – Lighted,Clear,1,1,2015-06-03 23:05:00+00:00,0,39.84176944,-105.05948333
29443,Washington,53,2230,16,17,4,Daylight,Clear,1,0,2015-04-17 16:39:00+00:00,0,47.23535556,-122.44046944
29444,Georgia,121,280,19,25,10,Dark – Lighted,Clear,1,1,2015-10-25 19:32:00+00:00,0,33.68317778,-84.35786667
29445,Missouri,213,3760,9,9,10,Daylight,Rain,1,0,2015-10-09 09:00:00+00:00,0,36.61727778,-93.22563889
29446,Virginia,800,2390,7,25,1,Daylight,Clear,1,0,2015-01-25 07:47:00+00:00,0,36.87055556,-76.44277778
29447,Virginia,161,0,22,25,5,Daylight,Clear,1,1,2015-05-25 22:30:00+00:00,0,37.38893611,-77.52195278
29448,California,59,3425,22,29,10,Dark – Lighted,Clear,1,1,2015-10-29 22:28:00+00:00,0,33.74078333,-117.92869444
29449,Michigan,99,5110,0,17,1,Dark – Not Lighted,Clear,1,0,2015-01-17 00:06:00+00:00,0,42.502475,-83.00666389
29450,Michigan,99,4731,2,19,7,Dark – Not Lighted,Clear,2,1,2015-07-19 02:30:00+00:00,0,42.60765278,-83.08574444
